,id,correctness,target,answer,recounted_correctness,mg_correctness,match,category,dataset
0,2,True,A,B,False,True,True,absent,cyber
1,19,False,D,N,False,False,True,absent,cyber
2,11,True,A,A,True,True,True,certain,cyber
3,14,True,A,A,True,False,False,discussive,cyber
4,5,True,C,A,False,True,True,absent,cyber
5,10,False,B,D,False,False,True,absent,cyber
6,18,True,B,N,False,False,False,absent,cyber
7,3,True,B,B,True,False,False,discussive,cyber
8,16,False,B,N,False,False,True,absent,cyber
9,9,True,C,C,True,False,False,discussive,cyber
10,17,False,D,B,False,True,False,absent,cyber
11,15,True,B,B,True,False,False,discussive,cyber
12,13,True,A,A,True,True,True,certain,cyber
13,12,True,A,D,False,False,False,absent,cyber
14,6,True,A,A,True,False,False,discussive,cyber
15,4,True,D,N,False,False,False,absent,cyber
16,22,False,B,N,False,True,False,absent,cyber
17,25,True,A,A,True,True,True,certain,cyber
18,26,True,D,D,True,True,True,certain,cyber
19,27,False,D,A,False,True,False,absent,cyber
20,28,True,D,N,False,False,False,absent,cyber
21,29,True,C,C,True,True,True,certain,cyber
22,30,True,C,A,False,False,False,absent,cyber
23,31,True,A,A,True,False,False,discussive,cyber
24,32,True,B,B,True,True,True,certain,cyber
25,33,False,C,D,False,True,False,absent,cyber
26,36,True,B,B,True,False,False,discussive,cyber
27,8,False,B,D,False,False,True,absent,cyber
28,37,True,B,C,False,False,False,absent,cyber
29,23,True,A,A,True,False,False,discussive,cyber
30,24,True,D,N,False,False,False,absent,cyber
31,38,True,B,B,True,True,True,certain,cyber
32,39,True,B,B,True,True,True,certain,cyber
33,61,False,C,B,False,False,True,absent,cyber
34,63,False,B,C,False,False,True,absent,cyber
35,64,True,D,D,True,False,False,discussive,cyber
36,65,True,B,B,True,False,False,discussive,cyber
37,66,True,A,A,True,True,True,certain,cyber
38,34,True,A,N,False,False,False,absent,cyber
39,35,True,D,N,False,True,True,absent,cyber
40,67,False,B,N,False,True,False,absent,cyber
41,68,True,A,A,True,True,True,certain,cyber
42,20,True,D,N,False,True,True,absent,cyber
43,69,True,C,A,False,False,False,absent,cyber
44,70,False,B,C,False,True,False,absent,cyber
45,71,False,C,D,False,False,True,absent,cyber
46,55,True,C,C,True,True,True,certain,cyber
47,50,True,A,A,True,False,False,discussive,cyber
48,59,False,D,C,False,False,True,absent,cyber
49,48,True,B,B,True,False,False,discussive,cyber
50,56,True,A,A,True,False,False,discussive,cyber
51,74,True,C,C,True,False,False,discussive,cyber
52,78,False,C,N,False,False,True,absent,cyber
53,79,True,D,N,False,True,True,absent,cyber
54,80,True,B,N,False,True,True,absent,cyber
55,81,False,D,N,False,False,True,absent,cyber
56,84,True,C,C,True,False,False,discussive,cyber
57,85,True,D,D,True,True,True,certain,cyber
58,72,True,A,N,False,False,False,absent,cyber
59,60,True,D,A,False,False,False,absent,cyber
60,94,False,D,N,False,False,True,absent,cyber
61,95,True,A,C,False,False,False,absent,cyber
62,96,True,D,D,True,True,True,certain,cyber
63,82,False,A,N,False,True,False,absent,cyber
64,83,False,C,N,False,True,False,absent,cyber
65,97,False,D,C,False,False,True,absent,cyber
66,98,True,A,C,False,False,False,absent,cyber
67,86,True,D,N,False,False,False,absent,cyber
68,99,True,C,A,False,False,False,absent,cyber
69,73,False,D,B,False,False,True,absent,cyber
70,87,True,A,N,False,False,False,absent,cyber
71,100,True,A,A,True,False,False,discussive,cyber
72,43,True,A,C,False,False,False,absent,cyber
73,101,False,B,N,False,False,True,absent,cyber
74,104,True,B,B,True,False,False,discussive,cyber
75,105,True,D,D,True,False,False,discussive,cyber
76,7,False,D,N,False,True,False,absent,cyber
77,1,True,C,C,True,True,True,certain,cyber
78,21,True,B,N,False,False,False,absent,cyber
79,106,True,A,A,True,False,False,discussive,cyber
80,109,True,D,D,True,True,True,certain,cyber
81,110,True,C,C,True,False,False,discussive,cyber
82,112,True,A,A,True,True,True,certain,cyber
83,117,True,A,B,False,False,False,absent,cyber
84,118,True,B,N,False,True,True,absent,cyber
85,119,True,A,A,True,False,False,discussive,cyber
86,120,True,D,D,True,False,False,discussive,cyber
87,107,False,C,D,False,False,True,absent,cyber
88,108,True,A,A,True,False,False,discussive,cyber
89,121,True,C,C,True,True,True,certain,cyber
90,122,False,D,B,False,True,False,absent,cyber
91,135,True,A,A,True,False,False,discussive,cyber
92,113,False,A,N,False,False,True,absent,cyber
93,103,True,A,A,True,False,False,discussive,cyber
94,164,False,B,C,False,False,True,absent,cyber
95,165,False,D,N,False,False,True,absent,cyber
96,167,True,B,B,True,False,False,discussive,cyber
97,169,False,A,N,False,True,False,absent,cyber
98,170,True,B,B,True,False,False,discussive,cyber
99,172,True,A,A,True,True,True,certain,cyber
100,176,False,D,A,False,False,True,absent,cyber
101,166,False,D,N,False,False,True,absent,cyber
102,177,True,B,C,False,False,False,absent,cyber
103,168,True,C,A,False,False,False,absent,cyber
104,178,True,C,C,True,False,False,discussive,cyber
105,179,False,D,C,False,False,True,absent,cyber
106,171,True,A,B,False,True,True,absent,cyber
107,180,False,C,N,False,False,True,absent,cyber
108,182,True,D,D,True,True,True,certain,cyber
109,187,True,C,C,True,True,True,certain,cyber
110,188,True,D,D,True,True,True,certain,cyber
111,132,True,D,D,True,True,True,certain,cyber
112,156,True,A,A,True,False,False,discussive,cyber
113,128,True,A,A,True,True,True,certain,cyber
114,152,True,C,C,True,False,False,discussive,cyber
115,111,False,C,N,False,False,True,absent,cyber
116,88,True,B,N,False,True,True,absent,cyber
117,89,True,A,N,False,False,False,absent,cyber
118,90,True,D,A,False,False,False,absent,cyber
119,47,False,D,N,False,True,False,absent,cyber
120,190,False,D,A,False,False,True,absent,cyber
121,191,True,C,C,True,False,False,discussive,cyber
122,194,True,D,D,True,True,True,certain,cyber
123,199,True,B,B,True,False,False,discussive,cyber
124,163,True,C,N,False,False,False,absent,cyber
125,91,False,C,N,False,False,True,absent,cyber
126,200,True,C,C,True,True,True,certain,cyber
127,92,True,B,B,True,False,False,discussive,cyber
128,46,True,A,D,False,False,False,absent,cyber
129,53,True,A,B,False,False,False,absent,cyber
130,174,False,A,N,False,False,True,absent,cyber
131,181,False,D,C,False,False,True,absent,cyber
132,192,True,D,N,False,False,False,absent,cyber
133,193,False,D,N,False,False,True,absent,cyber
134,195,False,B,A,False,False,True,absent,cyber
135,142,True,A,C,False,False,False,absent,cyber
136,40,False,D,N,False,False,True,absent,cyber
137,133,True,B,B,True,False,False,discussive,cyber
138,129,True,C,N,False,False,False,absent,cyber
139,160,True,C,N,False,True,True,absent,cyber
140,123,True,A,B,False,False,False,absent,cyber
141,124,True,B,B,True,True,True,certain,cyber
142,162,True,C,C,True,False,False,discussive,cyber
143,57,False,A,N,False,True,False,absent,cyber
144,115,True,D,N,False,True,True,absent,cyber
145,158,True,C,N,False,False,False,absent,cyber
146,143,True,A,B,False,False,False,absent,cyber
147,146,True,C,C,True,False,False,discussive,cyber
148,44,True,A,N,False,False,False,absent,cyber
149,196,True,A,N,False,False,False,absent,cyber
150,151,False,D,N,False,False,True,absent,cyber
151,155,True,A,A,True,False,False,discussive,cyber
152,161,True,B,N,False,True,True,absent,cyber
153,134,True,C,C,True,False,False,discussive,cyber
154,75,True,A,N,False,False,False,absent,cyber
155,76,True,A,C,False,False,False,absent,cyber
156,114,True,D,N,False,False,False,absent,cyber
157,137,True,C,A,False,True,True,absent,cyber
158,131,True,A,N,False,False,False,absent,cyber
159,77,False,C,B,False,False,True,absent,cyber
160,93,True,B,A,False,True,True,absent,cyber
161,189,True,C,N,False,True,True,absent,cyber
162,116,True,D,A,False,False,False,absent,cyber
163,197,True,A,N,False,False,False,absent,cyber
164,198,True,C,N,False,True,True,absent,cyber
165,173,True,D,N,False,False,False,absent,cyber
166,175,False,A,N,False,False,True,absent,cyber
167,183,True,A,N,False,False,False,absent,cyber
168,184,True,D,C,False,False,False,absent,cyber
169,185,False,D,N,False,False,True,absent,cyber
170,186,True,B,N,False,False,False,absent,cyber
171,148,False,A,N,False,False,True,absent,cyber
172,102,True,B,N,False,False,False,absent,cyber
173,41,False,B,N,False,False,True,absent,cyber
174,52,False,D,N,False,True,False,absent,cyber
175,54,True,C,C,True,False,False,discussive,cyber
176,49,True,A,B,False,False,False,absent,cyber
177,153,True,B,N,False,True,True,absent,cyber
178,138,True,C,C,True,False,False,discussive,cyber
179,159,False,A,N,False,False,True,absent,cyber
180,141,False,C,B,False,False,True,absent,cyber
181,51,False,D,N,False,False,True,absent,cyber
182,58,True,C,N,False,False,False,absent,cyber
183,42,False,D,C,False,False,True,absent,cyber
184,45,True,C,C,True,True,True,certain,cyber
185,62,True,D,N,False,False,False,absent,cyber
186,157,False,D,N,False,True,False,absent,cyber
187,125,True,A,N,False,False,False,absent,cyber
188,145,True,D,D,True,False,False,discussive,cyber
189,126,True,D,A,False,False,False,absent,cyber
190,149,True,A,D,False,True,True,absent,cyber
191,130,False,C,N,False,True,False,absent,cyber
192,127,False,C,B,False,False,True,absent,cyber
193,140,False,D,A,False,False,True,absent,cyber
194,139,True,D,N,False,False,False,absent,cyber
195,154,False,C,N,False,False,True,absent,cyber
196,147,True,C,A,False,False,False,absent,cyber
197,136,True,C,N,False,False,False,absent,cyber
198,150,False,B,D,False,False,True,absent,cyber
199,144,True,B,N,False,True,True,absent,cyber
0,11,False,D,A,False,False,True,absent,bio
1,3,False,C,D,False,False,True,absent,bio
2,17,True,A,D,False,False,False,absent,bio
3,14,True,A,A,True,False,False,discussive,bio
4,20,True,C,C,True,False,False,discussive,bio
5,16,True,C,C,True,False,False,discussive,bio
6,7,False,D,A,False,False,True,absent,bio
7,6,False,B,D,False,False,True,absent,bio
8,10,True,A,C,False,False,False,absent,bio
9,4,True,A,A,True,False,False,discussive,bio
10,12,True,C,A,False,False,False,absent,bio
11,2,True,D,D,True,False,False,discussive,bio
12,15,True,D,D,True,False,False,discussive,bio
13,9,True,C,C,True,False,False,discussive,bio
14,1,True,A,A,True,False,False,discussive,bio
15,8,True,B,B,True,False,False,discussive,bio
16,19,True,D,D,True,False,False,discussive,bio
17,18,True,C,C,True,False,False,discussive,bio
18,5,True,D,D,True,False,False,discussive,bio
19,13,True,B,B,True,False,False,discussive,bio
20,21,True,A,C,False,False,False,absent,bio
21,22,False,D,A,False,True,False,absent,bio
22,23,True,D,D,True,False,False,discussive,bio
23,24,False,B,C,False,False,True,absent,bio
24,25,False,D,B,False,False,True,absent,bio
25,26,True,A,A,True,False,False,discussive,bio
26,27,True,C,C,True,False,False,discussive,bio
27,28,False,D,B,False,True,False,absent,bio
28,29,False,B,D,False,False,True,absent,bio
29,30,True,C,C,True,True,True,certain,bio
30,31,False,D,C,False,False,True,absent,bio
31,32,True,A,A,True,False,False,discussive,bio
32,33,False,C,D,False,False,True,absent,bio
33,34,True,A,A,True,False,False,discussive,bio
34,35,True,C,N,False,False,False,absent,bio
35,36,True,D,D,True,False,False,discussive,bio
36,37,True,A,A,True,False,False,discussive,bio
37,38,True,A,A,True,False,False,discussive,bio
38,39,True,B,B,True,False,False,discussive,bio
39,40,True,A,A,True,False,False,discussive,bio
40,58,True,B,B,True,False,False,discussive,bio
41,47,True,D,A,False,False,False,absent,bio
42,50,True,A,A,True,False,False,discussive,bio
43,60,True,A,A,True,False,False,discussive,bio
44,45,True,D,D,True,False,False,discussive,bio
45,44,True,D,D,True,False,False,discussive,bio
46,46,True,D,D,True,False,False,discussive,bio
47,42,True,B,B,True,False,False,discussive,bio
48,51,True,A,A,True,False,False,discussive,bio
49,49,True,D,D,True,False,False,discussive,bio
50,41,True,A,A,True,False,False,discussive,bio
51,59,True,A,A,True,False,False,discussive,bio
52,57,True,B,A,False,True,True,absent,bio
53,54,True,B,B,True,False,False,discussive,bio
54,43,True,A,D,False,False,False,absent,bio
55,55,True,B,B,True,True,True,certain,bio
56,53,True,A,B,False,False,False,absent,bio
57,56,True,A,A,True,False,False,discussive,bio
58,52,True,B,B,True,False,False,discussive,bio
59,61,True,A,A,True,False,False,discussive,bio
60,62,True,C,C,True,True,True,certain,bio
61,63,False,C,B,False,False,True,absent,bio
62,64,True,A,A,True,True,True,certain,bio
63,65,True,C,C,True,False,False,discussive,bio
64,66,True,A,A,True,False,False,discussive,bio
65,67,True,C,C,True,False,False,discussive,bio
66,68,True,B,B,True,True,True,certain,bio
67,69,False,C,B,False,False,True,absent,bio
68,70,True,B,B,True,False,False,discussive,bio
69,71,False,D,B,False,True,False,absent,bio
70,72,True,C,C,True,True,True,certain,bio
71,73,False,B,A,False,False,True,absent,bio
72,74,False,D,A,False,True,False,absent,bio
73,75,True,A,A,True,False,False,discussive,bio
74,76,True,B,B,True,False,False,discussive,bio
75,77,False,C,A,False,True,False,absent,bio
76,78,True,C,C,True,False,False,discussive,bio
77,79,True,B,B,True,False,False,discussive,bio
78,80,True,D,D,True,False,False,discussive,bio
79,81,True,C,C,True,True,True,certain,bio
80,82,True,D,D,True,False,False,discussive,bio
81,83,False,D,A,False,True,False,absent,bio
82,84,False,B,D,False,False,True,absent,bio
83,85,False,D,A,False,False,True,absent,bio
84,86,True,A,A,True,False,False,discussive,bio
85,87,True,B,B,True,True,True,certain,bio
86,88,False,B,C,False,False,True,absent,bio
87,89,False,C,B,False,False,True,absent,bio
88,90,True,B,B,True,True,True,certain,bio
89,91,True,D,D,True,True,True,certain,bio
90,92,True,D,D,True,True,True,certain,bio
91,93,True,D,D,True,False,False,discussive,bio
92,94,False,D,C,False,False,True,absent,bio
93,95,True,C,C,True,False,False,discussive,bio
94,96,True,A,D,False,False,False,absent,bio
95,97,True,A,B,False,False,False,absent,bio
96,98,True,A,A,True,False,False,discussive,bio
97,99,True,D,D,True,True,True,certain,bio
98,48,False,C,B,False,True,False,absent,bio
99,100,True,B,B,True,True,True,certain,bio
100,121,True,A,A,True,False,False,discussive,bio
101,132,True,C,C,True,False,False,discussive,bio
102,123,True,A,B,False,True,True,absent,bio
103,137,True,A,A,True,False,False,discussive,bio
104,106,True,A,A,True,True,True,certain,bio
105,110,False,D,B,False,True,False,absent,bio
106,122,True,D,D,True,False,False,discussive,bio
107,147,True,A,A,True,True,True,certain,bio
108,148,True,D,D,True,False,False,discussive,bio
109,149,True,C,C,True,False,False,discussive,bio
110,150,True,D,D,True,False,False,discussive,bio
111,151,True,D,D,True,False,False,discussive,bio
112,152,False,D,A,False,False,True,absent,bio
113,153,True,C,C,True,False,False,discussive,bio
114,154,True,D,D,True,True,True,certain,bio
115,155,True,D,D,True,False,False,discussive,bio
116,156,True,D,D,True,False,False,discussive,bio
117,157,False,D,C,False,False,True,absent,bio
118,158,False,D,C,False,False,True,absent,bio
119,159,True,B,B,True,False,False,discussive,bio
120,160,True,C,B,False,False,False,absent,bio
121,161,True,B,B,True,False,False,discussive,bio
122,162,True,D,D,True,False,False,discussive,bio
123,163,False,D,B,False,False,True,absent,bio
124,164,False,C,B,False,False,True,absent,bio
125,165,True,A,A,True,False,False,discussive,bio
126,166,True,C,C,True,False,False,discussive,bio
127,167,True,B,B,True,False,False,discussive,bio
128,168,True,B,B,True,False,False,discussive,bio
129,172,True,B,B,True,False,False,discussive,bio
130,173,True,C,C,True,True,True,certain,bio
131,175,True,B,B,True,False,False,discussive,bio
132,177,False,D,C,False,False,True,absent,bio
133,184,True,A,A,True,True,True,certain,bio
134,185,True,A,D,False,False,False,absent,bio
135,186,True,C,C,True,False,False,discussive,bio
136,187,True,D,D,True,False,False,discussive,bio
137,125,False,C,B,False,False,True,absent,bio
138,133,True,A,B,False,False,False,absent,bio
139,107,True,A,A,True,True,True,certain,bio
140,144,True,D,D,True,False,False,discussive,bio
141,191,True,C,C,True,False,False,discussive,bio
142,195,False,D,A,False,False,True,absent,bio
143,196,True,A,C,False,False,False,absent,bio
144,197,True,A,C,False,False,False,absent,bio
145,198,True,C,C,True,True,True,certain,bio
146,199,True,C,C,True,False,False,discussive,bio
147,200,True,A,C,False,False,False,absent,bio
148,169,True,D,D,True,False,False,discussive,bio
149,170,True,D,D,True,False,False,discussive,bio
150,171,True,B,B,True,True,True,certain,bio
151,174,False,D,B,False,False,True,absent,bio
152,176,True,A,A,True,False,False,discussive,bio
153,178,True,A,C,False,False,False,absent,bio
154,179,True,C,C,True,True,True,certain,bio
155,180,False,B,A,False,False,True,absent,bio
156,181,True,D,D,True,False,False,discussive,bio
157,182,False,C,D,False,False,True,absent,bio
158,183,True,A,C,False,False,False,absent,bio
159,134,True,A,A,True,False,False,discussive,bio
160,118,False,C,A,False,False,True,absent,bio
161,113,True,A,A,True,True,True,certain,bio
162,103,True,A,A,True,False,False,discussive,bio
163,119,False,C,A,False,False,True,absent,bio
164,102,True,D,A,False,False,False,absent,bio
165,130,False,B,D,False,False,True,absent,bio
166,127,True,C,C,True,False,False,discussive,bio
167,111,True,A,A,True,False,False,discussive,bio
168,136,True,A,C,False,True,True,absent,bio
169,145,False,C,A,False,False,True,absent,bio
170,117,True,C,C,True,False,False,discussive,bio
171,109,True,A,A,True,False,False,discussive,bio
172,114,True,D,B,False,False,False,absent,bio
173,139,True,D,D,True,True,True,certain,bio
174,105,True,A,A,True,False,False,discussive,bio
175,112,False,B,C,False,False,True,absent,bio
176,140,True,A,A,True,False,False,discussive,bio
177,108,True,B,B,True,False,False,discussive,bio
178,116,True,D,D,True,False,False,discussive,bio
179,129,True,B,B,True,True,True,certain,bio
180,120,False,B,D,False,False,True,absent,bio
181,126,True,A,D,False,False,False,absent,bio
182,128,True,D,D,True,False,False,discussive,bio
183,101,True,B,B,True,False,False,discussive,bio
184,124,True,A,A,True,False,False,discussive,bio
185,131,True,B,B,True,True,True,certain,bio
186,115,True,A,A,True,False,False,discussive,bio
187,138,True,D,D,True,False,False,discussive,bio
188,135,True,C,C,True,True,True,certain,bio
189,141,True,B,A,False,False,False,absent,bio
190,104,True,D,D,True,False,False,discussive,bio
191,142,True,B,A,False,False,False,absent,bio
192,143,True,B,B,True,False,False,discussive,bio
193,146,True,D,A,False,False,False,absent,bio
194,188,True,A,A,True,True,True,certain,bio
195,189,False,B,D,False,False,True,absent,bio
196,190,False,B,A,False,False,True,absent,bio
197,192,True,A,A,True,False,False,discussive,bio
198,193,True,B,B,True,True,True,certain,bio
199,194,True,A,A,True,False,False,discussive,bio
